,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
S01C,0.0,14.0,20.0,0.0,33.0,0.0,1.0,6.0,13.0
S01D,1.0,3.0,2.0,1.0,6.0,1.0,2.0,1.0,1.0
S01E,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S08A,8.0,23.0,22.0,6.0,19.0,5.0,7.0,14.0,12.0
S08B,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
S09A,0.0,4.0,4.0,0.0,11.0,0.0,2.0,4.0,3.0
S09B,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0
S09C,7.0,14.0,20.0,5.0,28.0,7.0,11.0,14.0,11.0
S09D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
S09X,21.0,29.0,51.0,20.0,64.0,16.0,31.0,39.0,39.0
S10,8.0,9.0,9.0,8.0,11.0,6.0,8.0,9.0,8.0
S11,0.0,2.0,8.0,0.0,19.0,0.0,3.0,7.0,0.0
S12,3.0,13.0,22.0,3.0,40.0,2.0,8.0,16.0,9.0
S13,0.0,4.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0
S14,1.0,11.0,9.0,1.0,15.0,1.0,2.0,4.0,9.0
S15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S16,2.0,10.0,12.0,2.0,14.0,2.0,4.0,8.0,7.0
S24,0.0,4.0,11.0,0.0,15.0,0.0,1.0,5.0,1.0
S26A,2.0,5.0,8.0,2.0,10.0,2.0,4.0,6.0,4.0
S26B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
S26C,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0
S28,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
S33,27.0,89.0,118.0,26.0,187.0,26.0,49.0,68.0,70.0
S41A,0.0,2.0,7.0,0.0,19.0,0.0,2.0,9.0,3.0
S41B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S45,0.0,2.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0
S46,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
S49A,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0
S49B,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0
S49X,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S51,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
S53,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
S54,3.0,10.0,9.0,3.0,4.0,3.0,3.0,5.0,4.0
S59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S66,0.0,1.0,4.0,0.0,3.0,0.0,1.0,4.0,4.0
S78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T01A,13.0,12.0,13.0,13.0,14.0,14.0,12.0,13.0,16.0
T01B,0.0,0.0,2.0,0.0,5.0,0.0,1.0,3.0,0.0
T01X,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
T02,3.0,4.0,4.0,3.0,7.0,2.0,4.0,4.0,5.0
T03,3.0,10.0,14.0,3.0,34.0,4.0,5.0,13.0,10.0
T05,1.0,5.0,4.0,1.0,8.0,1.0,2.0,4.0,4.0
U56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U62,0.0,1.0,3.0,0.0,15.0,0.0,1.0,7.0,5.0
U72,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
U73,0.0,4.0,4.0,0.0,4.0,0.0,1.0,4.0,1.0
U74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
