,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9
GH24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH25,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
GH26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH27,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
GH28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
GH29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH3,3.0,7.0,13.0,4.0,16.0,3.0,8.0,11.0,7.0
GH30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH30_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GH30_4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
GH30_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH30_7,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
GH31,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0
GH32,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
GH33,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
GH35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH36,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
GH37,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
GH38,1.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,5.0
GH39,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0
GH4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH42,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
GH43,1.0,4.0,5.0,1.0,10.0,1.0,3.0,5.0,4.0
GH43_1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
GH43_10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH43_18,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
GH43_2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
GH43_23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
GH43_26,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
GH43_27,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0
GH43_29,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
GH43_3,1.0,3.0,4.0,1.0,10.0,1.0,3.0,5.0,3.0
GH43_30,1.0,3.0,5.0,1.0,10.0,1.0,3.0,5.0,4.0
GH43_31,1.0,3.0,4.0,1.0,7.0,1.0,3.0,5.0,3.0
GH43_32,0.0,2.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0
GH43_33,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
GH43_34,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0
GH43_35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GH43_36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH43_4,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0
GH43_5,1.0,3.0,2.0,1.0,6.0,1.0,3.0,2.0,3.0
GH43_6,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
GH43_7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH43_8,1.0,3.0,4.0,1.0,8.0,1.0,3.0,5.0,2.0
GH43_9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH45,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0
GH47,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
GH5,7.0,12.0,9.0,6.0,16.0,7.0,8.0,14.0,7.0
GH51,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0
GH55,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
GH57,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
GH5_1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
GH5_11,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH5_12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH5_13,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0
GH5_14,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
GH5_15,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
GH5_16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH5_19,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
GH5_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GH5_20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH5_22,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
GH5_23,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
GH5_24,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GH5_25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
GH5_26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH5_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH5_36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GH5_37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
